date,Benchmark SPY,Multifactor net (0 bps),Multifactor net (10 bps),Multifactor net (30 bps)
2015-02-28,0.0,0.0,0.0,0.0
2015-03-31,-0.015705665391914092,-0.010776251773682466,-0.01077873979653321,-0.01078371584223492
2015-04-30,-0.006026158161725803,-0.012709054530140929,-0.012717630141040104,-0.012734781270898665
2015-05-31,0.0,0.0,0.0,0.0
2015-06-30,-0.020311938600017232,-0.01519176213155593,-0.015197724353615771,-0.01520964879773512
2015-07-31,0.0,0.0,0.0,0.0
2015-08-31,-0.060950245442831785,-0.05431504384655883,-0.05431990283438104,-0.054329620810026014
2015-09-30,-0.08491078679077635,-0.07009416579937178,-0.07010576528863477,-0.07012896405686175
2015-10-31,-0.007073587638654066,-0.0020747603773599854,-0.002093005548957194,-0.0021294952325866534
2015-11-30,-0.003444285433581107,-0.0018850537004077017,-0.0019079734123480518,-0.0019538116641286685
2015-12-31,-0.020667190649002132,-0.009913020461950195,-0.009945710288379317,-0.01001108740706258
2016-01-31,-0.06942484823929773,-0.05566722270280722,-0.055719447036581604,-0.05582388911798197
2016-02-29,-0.07019360683588294,-0.05052338768133213,-0.05058444918079641,-0.05070656271979013
2016-03-31,-0.0076491567304197705,0.0,0.0,0.0
2016-04-30,-0.003738329945416563,-0.0015996472106615256,-0.0016042033244527687,-0.0016133155520350329
2016-05-31,0.0,0.0,0.0,0.0
2016-06-30,0.0,0.0,0.0,0.0
2016-07-31,0.0,0.0,0.0,0.0
2016-08-31,0.0,-0.0060804333003984246,-0.006091688424868069,-0.006114198673807025
2016-09-30,0.0,-0.005099812863070707,-0.005115779889550809,-0.005147713623116834
2016-10-31,-0.01733678372651526,-0.024823311559196815,-0.024843180977883295,-0.02488291909593654
2016-11-30,0.0,-0.00016745624804226367,-0.00021178970990698431,-0.0003004529667799405
2016-12-31,0.0,0.0,0.0,0.0
2017-01-31,0.0,0.0,0.0,0.0
2017-02-28,0.0,0.0,0.0,0.0
2017-03-31,0.0,0.0,0.0,0.0
2017-04-30,0.0,0.0,0.0,0.0
2017-05-31,0.0,0.0,0.0,0.0
2017-06-30,0.0,0.0,0.0,0.0
2017-07-31,0.0,0.0,0.0,0.0
2017-08-31,0.0,0.0,0.0,0.0
2017-09-30,0.0,0.0,0.0,0.0
2017-10-31,0.0,0.0,0.0,0.0
2017-11-30,0.0,0.0,0.0,0.0
2017-12-31,0.0,0.0,0.0,0.0
2018-01-31,0.0,0.0,0.0,0.0
2018-02-28,-0.036360415659998147,-0.02978762561019055,-0.02979582020557925,-0.029812209396356648
2018-03-31,-0.06277467519587743,-0.04745372081612598,-0.04747205587699854,-0.04750872547728857
2018-04-30,-0.05793064387913638,-0.04793778906360513,-0.04796209461821299,-0.04801070451562128
2018-05-31,-0.035029933234185684,-0.026227087762798584,-0.026259310009918213,-0.026323752136965584
2018-06-30,-0.02948024496561985,-0.02487476106017894,-0.02491459741536517,-0.02499426625243817
2018-07-31,0.0,0.0,0.0,0.0
2018-08-31,0.0,0.0,0.0,0.0
2018-09-30,0.0,0.0,0.0,0.0
2018-10-31,-0.06910447479336257,-0.06845906225978715,-0.06847910561585557,-0.06851919232799308
2018-11-30,-0.05183698688827587,-0.05686110454179394,-0.05689133893662435,-0.05695180644283038
2018-12-31,-0.13532110091743121,-0.13638172491505662,-0.13642311056481682,-0.13650587805387682
2019-01-31,-0.06609004115634332,-0.07120189401016253,-0.07125841004501321,-0.07137143456435202
2019-02-28,-0.03581675925958694,-0.03991695003754936,-0.03998199116933232,-0.040112063210793414
2019-03-31,-0.018364734667285054,-0.024528437960588456,-0.024606592207295885,-0.024762885408450175
2019-04-30,0.0,0.0,0.0,0.0
2019-05-31,-0.06377131358264576,-0.04998890621658425,-0.05002146601849833,-0.05008658562232626
2019-06-30,0.0,0.0,0.0,0.0
2019-07-31,0.0,0.0,0.0,0.0
2019-08-31,-0.01674368032320961,-0.011106630047972854,-0.011127258053073685,-0.011168514063276014
2019-09-30,0.0,0.0,0.0,0.0
2019-10-31,0.0,0.0,0.0,0.0
2019-11-30,0.0,0.0,0.0,0.0
2019-12-31,0.0,0.0,0.0,0.0
2020-01-31,-0.0004035979718993721,0.0,0.0,0.0
2020-02-29,-0.07953751001063392,-0.08474759018366673,-0.08475540070778265,-0.08477102175601414
2020-03-31,-0.1944768033625951,-0.2049770818072858,-0.20501117781459322,-0.20507936843078123
2020-04-30,-0.09218864210814626,-0.11667466005090144,-0.11671886032020473,-0.11680725767946576
2020-05-31,-0.04893583801241741,-0.07414362463806823,-0.07419776807585399,-0.07430604927266671
2020-06-30,-0.032069083490377515,-0.06538847790083735,-0.06545862718212603,-0.06559891457579425
2020-07-31,0.0,-0.024294891429399446,-0.024383098836557315,-0.024559495247587715
2020-08-31,0.0,0.0,0.0,0.0
2020-09-30,-0.037443651948556256,-0.026772955614122074,-0.026781170063927107,-0.026797598963537284
2020-10-31,-0.061443460694610486,-0.0537746710069088,-0.05379209238837679,-0.053826934673504856
2020-11-30,0.0,0.0,0.0,0.0
2020-12-31,0.0,0.0,0.0,0.0
2021-01-31,-0.010190539691776856,-0.00165197438330833,-0.0016781479940050081,-0.0017304952153984754
2021-02-28,0.0,0.0,0.0,0.0
2021-03-31,0.0,0.0,0.0,0.0
2021-04-30,0.0,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.0,0.0
2021-06-30,0.0,0.0,0.0,0.0
2021-07-31,0.0,0.0,0.0,0.0
2021-08-31,0.0,0.0,0.0,0.0
2021-09-30,-0.04660527022518446,-0.04607671329598373,-0.04608838379372582,-0.046111724789209996
2021-10-31,0.0,0.0,0.0,0.0
2021-11-30,-0.008035128456740148,-0.018887643849612834,-0.018898966609312784,-0.01892161212871246
2021-12-31,0.0,0.0,0.0,0.0
2022-01-31,-0.05274118387053561,-0.059848151219004886,-0.05986949765254046,-0.05991219051961172
2022-02-28,-0.08070147308966413,-0.08805147038008687,-0.08807784025136334,-0.08813057922230827
2022-03-31,-0.04614461789528168,-0.05476581399151381,-0.05480793986961485,-0.05489218825939646
2022-04-30,-0.12986357605031362,-0.13049904151260883,-0.13056317076591073,-0.13069141938956996
2022-05-31,-0.1278995612054452,-0.12359057103214988,-0.12366863039274911,-0.12382473321356391
2022-06-30,-0.19981332947463815,-0.19058492049697906,-0.1906796269473945,-0.19086901307840376
2022-07-31,-0.12612613658456162,-0.13926402879368582,-0.13937565836195542,-0.13959888136650456
2022-08-31,-0.16178194142945934,-0.1690853980587912,-0.169201087422169,-0.1694324251003445
2022-09-30,-0.23927178828328322,-0.23844640270814232,-0.23856904819090752,-0.2388142876563466
2022-10-31,-0.17744311776379396,-0.1591746458784632,-0.15932669454135862,-0.1596307189313575
2022-11-30,-0.1317160775179811,-0.11160090555653701,-0.11177027004914808,-0.1121089125189334
2022-12-31,-0.1817536936501496,-0.15487510281805572,-0.15504584806983723,-0.1553872452570494
2023-01-31,-0.13029624522235494,-0.12253885097206885,-0.12274329034351894,-0.12315203927695506
2023-02-28,-0.15216304198113284,-0.15397488613971333,-0.1541761699949732,-0.1545786067194307
2023-03-31,-0.1207270590248567,-0.13632566233639576,-0.13654802520940823,-0.13699259314273715
2023-04-30,-0.10668067560581018,-0.12661444476185646,-0.12684876531167633,-0.1273172322160696
2023-05-31,-0.10255700242208698,-0.15062669417507069,-0.1508701519902499,-0.15135687313820356
2023-06-30,-0.04440294693049007,-0.0981047677389959,-0.09837020743457447,-0.09890086840493872
2023-07-31,-0.013122932469943338,-0.07413245538839719,-0.074414599129908,-0.07497864535012289
2023-08-31,-0.02916167001832759,-0.08263872483912116,-0.08292757176873133,-0.08350500958813467
2023-09-30,-0.07521307556830659,-0.1192465356484157,-0.11953295762629002,-0.12010553856698514
2023-10-31,-0.09528876126119501,-0.13593562931195158,-0.13622429585502904,-0.13680135594250264
2023-11-30,-0.01264908597613068,-0.0656869990903648,-0.066005999674692,-0.06664369189019648
2023-12-31,0.0,-0.019467327490610642,-0.01981380589265258,-0.020506414500997328
2024-01-31,0.0,0.0,0.0,0.0
2024-02-29,0.0,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0,0.0
2024-04-30,-0.04031962876347306,-0.05125600865881075,-0.05126660053233423,-0.05128778427938141
2024-05-31,0.0,-0.01092639900199266,-0.01094859079612609,-0.010992973637527936
2024-06-30,0.0,0.0,0.0,0.0
2024-07-31,0.0,0.0,0.0,0.0
2024-08-31,0.0,0.0,0.0,0.0
2024-09-30,0.0,0.0,0.0,0.0
2024-10-31,-0.008923432140726995,-0.011316918669243226,-0.011321768931787268,-0.01133146945687502
2024-11-30,0.0,0.0,0.0,0.0
2024-12-31,-0.02406017042926556,-0.05137455779371858,-0.05138809958276258,-0.0514151831608507
2025-01-31,0.0,-0.012050359110047482,-0.012072508993635989,-0.012116808071592433
2025-02-28,-0.012694838334663006,-0.005608312669942772,-0.005643365869766659,-0.005713469859358611
2025-03-31,-0.06770669845181498,-0.047770866730763584,-0.04782734022564705,-0.047940280062679586
2025-04-30,-0.0757898363515297,-0.05303136206629622,-0.053107931490635085,-0.05326105596417563
2025-05-31,-0.017708013663762512,-0.004831365074435268,-0.004935987645197315,-0.005145205960992771
2025-06-30,0.0,0.0,0.0,0.0
2025-07-31,0.0,-0.0011431587840330382,-0.0011498830557840067,-0.001163331599286055
2025-08-31,0.0,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0,0.0
2025-12-31,0.0,0.0,0.0,0.0
