date,Benchmark SPY,Multifactor net (0 bps),Multifactor net (10 bps),Multifactor net (30 bps)
2015-02-28,105.62049936180998,105.25509542259984,105.25433268439454,105.25280720798395
2015-03-31,103.96165914030651,104.12084001386293,104.11982361993171,104.11779084345551
2015-04-30,104.98401352753525,103.91740267529883,103.91574701057242,103.9124357300422
2015-05-31,106.33368284590978,105.69087643494619,105.68834607105624,105.68328547394972
2015-06-30,104.17383960882995,104.08524578067082,104.08212372007878,104.07587981810016
2015-07-31,106.52702464522127,106.95034189662671,106.9459016491693,106.93702160126199
2015-08-31,100.03417634680045,101.14132938710698,101.13661066305116,101.12717376711187
2015-09-30,97.48173116811512,99.45374689942506,99.44837736957122,99.43763905703923
2015-10-31,105.77349640050824,106.72844556491448,106.72206328357936,106.70929972357509
2015-11-30,106.160115165953,106.7487347588746,106.7418517122631,106.72808680113026
2015-12-31,104.32541031760753,105.89014096899288,105.88224869483716,105.86646573096081
2016-01-31,99.13140212584285,100.99671339612581,100.98693514644894,100.96738116478589
2016-02-29,99.0495085598782,101.54684831033242,101.53610212210245,101.51461280837005
2016-03-31,105.71218273768469,107.42629264903579,107.41469268039852,107.39149613022158
2016-04-30,106.12879147899392,107.25444847964805,107.24237767330555,107.21823975935838
2016-05-31,107.93421025455268,109.0161220910787,109.00342681380661,108.97804030654147
2016-06-30,108.30939059498428,110.84707405660306,110.8319782644319,110.80179232358287
2016-07-31,112.25958352462982,114.0969243546667,114.08046598175741,114.047555796595
2016-08-31,112.39400122682899,113.40316561634754,113.38552332763278,113.35024638219254
2016-09-30,112.40049380653281,113.51505139220596,113.49685542809735,113.4604716399377
2016-10-31,110.45183075465543,111.26466085346469,111.24634431933136,111.20971969261902
2016-11-30,114.52070544795976,114.07781811180111,114.05630491296108,114.01328987010191
2016-12-31,116.84227041714873,116.24594418124747,116.22357139463517,116.17883790198353
2017-01-31,118.93308484319772,118.23282039149177,118.20924167020559,118.16209746560742
2017-02-28,123.60616770990968,123.43583767376967,123.41087874382646,123.36097511436775
2017-03-31,123.76066517358946,123.75340251903857,123.72727453664612,123.67503417919181
2017-04-30,124.98913349623753,125.24401946365762,125.21661576284147,125.16182537380335
2017-05-31,126.75310534715345,127.79119707907473,127.76155999829382,127.70230539546678
